Geography,Geographic Area Name,Total Population,Total Population MOE,Male,Male MOE,Male Under 5 years,Male Under 5 years MOE,Male 5 to 9 years,Male 5 to 9 years MOE,Male 10 to 14 years,Male 10 to 14 years MOE,Male 15 to 17 years,Male 15 to 17 years MOE,Male 18 and 19 years,Male 18 and 19 years MOE,Male 20 years,Male 20 years MOE,Male 21 years,Male 21 years MOE,Male 22 to 24 years,Male 22 to 24 years MOE,Male 25 to 29 years,Male 25 to 29 years MOE,Male 30 to 34 years,Male 30 to 34 years MOE,Male 35 to 39 years,Male 35 to 39 years MOE,Male 40 to 44 years,Male 40 to 44 years MOE,Male 45 to 49 years,Male 45 to 49 years MOE,Male 50 to 54 years,Male 50 to 54 years MOE,Male 55 to 59 years,Male 55 to 59 years MOE,Male 60 and 61 years,Male 60 and 61 years MOE,Male 62 to 64 years,Male 62 to 64 years MOE,Male 65 and 66 years,Male 65 and 66 years MOE,Male 67 to 69 years,Male 67 to 69 years MOE,Male 70 to 74 years,Male 70 to 74 years MOE,Male 75 to 79 years,Male 75 to 79 years MOE,Male 80 to 84 years,Male 80 to 84 years MOE,Male 85 years and over,Male 85 years and over MOE,Female,Female MOE,Female Under 5 years,Female Under 5 years MOE,Female 5 to 9 years,Female 5 to 9 years MOE,Female 10 to 14 years,Female 10 to 14 years MOE,Female 15 to 17 years,Female 15 to 17 years MOE,Female 18 and 19 years,Female 18 and 19 years MOE,Female 20 years,Female 20 years MOE,Female 21 years,Female 21 years MOE,Female 22 to 24 years,Female 22 to 24 years MOE,Female 25 to 29 years,Female 25 to 29 years MOE,Female 30 to 34 years,Female 30 to 34 years MOE,Female 35 to 39 years,Female 35 to 39 years MOE,Female 40 to 44 years,Female 40 to 44 years MOE,Female 45 to 49 years,Female 45 to 49 years MOE,Female 50 to 54 years,Female 50 to 54 years MOE,Female 55 to 59 years,Female 55 to 59 years MOE,Female 60 and 61 years,Female 60 and 61 years MOE,Female 62 to 64 years,Female 62 to 64 years MOE,Female 65 and 66 years,Female 65 and 66 years MOE,Female 67 to 69 years,Female 67 to 69 years MOE,Female 70 to 74 years,Female 70 to 74 years MOE,Female 75 to 79 years,Female 75 to 79 years MOE,Female 80 to 84 years,Female 80 to 84 years MOE,Female 85 years and over,Female 85 years and over MOE
1500000US010890009013,Block Group 3; Census Tract 9.01; Madison County; Alabama,1002,587,397,317,0,13,0,13,0,13,0,13,0,13,0,13,0,13,62,102,0,13,64,85,59,56,0,13,37,58,0,13,0,13,14,24,0,13,44,71,21,35,46,78,0,13,0,13,50,83,605,313,70,86,0,13,0,13,0,13,0,13,0,13,0,13,127,153,69,91,20,37,7,21,54,97,109,100,29,52,0,13,0,13,54,53,22,35,0,13,0,13,0,13,44,50,0,13
1500000US010890009014,Block Group 4; Census Tract 9.01; Madison County; Alabama,1362,450,778,379,0,13,4,9,85,100,112,100,0,13,0,13,52,81,36,59,24,39,107,100,78,79,0,13,7,13,109,85,21,46,0,13,16,26,0,13,47,75,20,32,39,54,21,34,0,13,584,224,0,13,0,13,105,129,29,49,17,35,0,13,0,13,0,13,0,13,55,77,134,106,30,54,6,12,21,46,26,44,12,19,5,14,0,13,43,46,62,66,23,37,16,25,0,13
1500000US010890009021,Block Group 1; Census Tract 9.02; Madison County; Alabama,1576,495,926,306,8,14,72,102,36,34,28,26,0,13,34,34,15,24,28,29,137,120,87,51,52,46,27,27,58,34,220,255,10,15,26,25,18,19,10,17,24,28,6,11,23,22,0,13,7,12,650,215,8,16,0,13,0,13,0,13,0,13,0,13,16,19,51,44,90,66,77,60,23,23,46,37,20,24,135,193,51,38,46,39,36,33,0,13,0,13,16,19,25,22,10,15,0,13
1500000US010890009022,Block Group 2; Census Tract 9.02; Madison County; Alabama,819,232,405,124,30,34,8,12,13,17,0,13,0,13,14,20,0,13,23,25,27,34,35,32,72,59,23,24,12,14,33,28,16,18,15,19,12,18,27,31,0,13,5,8,25,23,9,12,6,10,414,144,4,6,18,31,45,58,1,2,7,12,17,25,4,7,0,13,33,38,19,21,13,14,63,57,9,14,21,21,17,19,18,28,0,13,17,19,0,13,27,26,53,39,20,20,8,12
1500000US010890010001,Block Group 1; Census Tract 10; Madison County; Alabama,1529,336,661,183,16,24,7,12,24,35,0,13,0,13,0,13,0,13,17,26,66,52,77,55,55,45,7,11,45,33,58,42,52,42,61,78,20,22,34,43,54,58,33,32,35,24,0,13,0,13,868,210,45,39,23,25,35,34,29,27,21,27,0,13,0,13,0,13,79,52,91,59,76,41,40,36,80,96,9,15,90,62,21,25,27,28,31,25,40,34,74,45,9,14,29,27,19,21
1500000US010890010002,Block Group 2; Census Tract 10; Madison County; Alabama,1394,356,630,168,0,13,0,13,0,13,8,11,6,8,0,13,0,13,26,31,91,81,70,57,137,89,83,59,28,26,54,63,36,45,21,24,43,35,0,13,20,22,7,11,0,13,0,13,0,13,764,234,22,25,106,110,11,18,0,13,0,13,0,13,0,13,21,25,127,80,67,46,83,76,46,38,32,46,22,19,68,60,10,16,25,22,0,13,25,27,0,13,35,51,64,106,0,13
1500000US010890012001,Block Group 1; Census Tract 12; Madison County; Alabama,1705,468,819,387,213,210,170,144,0,13,0,13,0,13,0,13,0,13,0,13,19,29,193,89,21,31,0,13,0,13,113,139,14,21,0,13,20,32,0,13,0,13,12,19,44,37,0,13,0,13,886,357,54,83,16,25,105,85,172,136,0,13,0,13,0,13,41,38,26,29,54,81,20,31,31,40,22,24,36,33,41,46,0,13,7,12,14,27,0,13,201,267,11,18,31,56,4,8
1500000US010890012002,Block Group 2; Census Tract 12; Madison County; Alabama,571,270,157,107,99,97,0,13,36,43,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,18,29,0,13,4,7,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,414,195,76,77,66,65,36,54,0,13,0,13,54,84,0,13,0,13,44,64,54,58,53,58,0,13,0,13,0,13,11,22,0,13,0,13,20,31,0,13,0,13,0,13,0,13,0,13
1500000US010890012003,Block Group 3; Census Tract 12; Madison County; Alabama,1366,524,588,225,107,110,58,51,123,120,0,13,0,13,0,13,0,13,40,52,0,13,0,13,39,50,22,30,10,20,133,81,0,13,0,13,0,13,0,13,0,13,26,41,23,35,0,13,7,12,778,325,40,63,58,50,58,66,0,13,0,13,0,13,0,13,27,45,57,69,145,85,38,50,149,221,0,13,74,48,26,43,59,77,0,13,27,31,0,13,0,13,20,37,0,13,0,13
1500000US010890013011,Block Group 1; Census Tract 13.01; Madison County; Alabama,1339,528,793,461,16,26,0,13,0,13,0,13,0,13,0,13,70,79,62,43,235,194,60,48,195,281,54,69,0,13,0,13,12,19,0,13,28,43,32,37,16,25,0,13,13,20,0,13,0,13,546,272,0,13,20,32,32,50,0,13,75,112,63,93,56,88,52,49,58,52,27,30,16,24,6,9,31,49,0,13,71,62,0,13,0,13,0,13,28,44,0,13,11,16,0,13,0,13
1500000US010890013012,Block Group 2; Census Tract 13.01; Madison County; Alabama,1511,448,639,254,97,116,32,46,21,31,13,21,0,13,3,9,28,46,0,13,50,60,126,132,130,126,16,27,0,13,43,50,0,13,0,13,7,15,32,37,15,24,11,18,8,13,7,14,0,13,872,275,96,90,0,13,0,13,29,46,77,121,34,55,0,13,91,95,51,61,174,128,26,29,3,9,120,81,10,16,0,13,0,13,61,47,7,15,0,13,43,49,26,36,14,29,10,21
1500000US010890013013,Block Group 3; Census Tract 13.01; Madison County; Alabama,809,422,501,252,0,13,60,64,54,58,60,65,0,13,0,13,0,13,0,13,127,137,58,94,0,13,12,18,25,39,47,72,0,13,22,37,9,15,0,13,27,43,0,13,0,13,0,13,0,13,308,198,0,13,0,13,47,63,0,13,0,13,0,13,0,13,0,13,12,21,89,115,55,58,0,13,0,13,0,13,105,126,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US010890013021,Block Group 1; Census Tract 13.02; Madison County; Alabama,2409,420,996,210,75,97,95,102,29,31,67,42,83,81,24,26,1,2,67,60,69,46,89,59,49,50,44,44,53,52,35,37,94,50,15,16,18,20,15,16,6,9,14,12,19,23,14,17,21,21,1413,341,16,19,150,132,54,97,48,49,28,33,17,26,104,121,233,128,170,76,91,80,47,58,16,20,54,37,88,61,86,58,37,23,33,25,6,9,21,29,55,29,4,8,0,13,55,54
1500000US010890014011,Block Group 1; Census Tract 14.01; Madison County; Alabama,2681,416,1327,278,168,162,23,21,79,59,24,38,10,12,24,25,20,20,77,38,190,103,37,21,89,45,175,112,74,48,43,30,102,52,63,32,36,30,6,10,0,13,28,24,4,6,34,27,21,29,1354,248,126,111,70,49,36,22,30,28,0,13,17,26,13,20,78,86,281,123,34,32,87,41,131,57,69,38,59,33,125,47,14,15,42,24,16,17,38,27,20,16,27,26,20,25,21,28
1500000US010890014031,Block Group 1; Census Tract 14.03; Madison County; Alabama,2060,525,1075,316,66,97,21,39,26,59,0,13,50,72,80,83,23,39,112,86,330,178,154,157,0,13,19,27,80,66,53,81,0,13,0,13,0,13,0,13,46,32,15,19,0,13,0,13,0,13,985,331,106,57,100,128,8,15,0,13,64,86,79,92,61,93,157,134,170,177,6,11,13,30,69,70,29,40,58,70,28,40,0,13,20,25,0,13,9,16,8,13,0,13,0,13,0,13
1500000US010890014032,Block Group 2; Census Tract 14.03; Madison County; Alabama,840,230,400,153,0,13,0,13,0,13,0,13,0,13,0,13,0,13,39,46,115,108,70,56,15,24,0,13,30,37,21,27,0,13,27,35,9,19,0,13,0,13,27,38,32,36,15,22,0,13,440,141,19,26,0,13,15,28,0,13,0,13,0,13,0,13,39,49,75,90,85,59,29,47,0,13,12,23,8,19,23,36,16,28,18,24,0,13,23,38,46,39,0,13,0,13,32,36
1500000US010890014041,Block Group 1; Census Tract 14.04; Madison County; Alabama,990,473,488,248,0,13,20,39,15,27,19,30,10,25,0,13,15,24,15,20,82,99,43,55,42,52,12,19,163,118,6,17,3,7,16,25,0,13,0,13,0,13,7,12,0,13,20,23,0,13,502,316,0,13,0,13,2,6,0,13,30,50,114,153,0,13,49,76,46,52,0,13,166,160,0,13,38,30,0,13,8,19,0,13,0,13,17,20,0,13,23,36,9,14,0,13,0,13
1500000US010890014042,Block Group 2; Census Tract 14.04; Madison County; Alabama,1037,345,583,245,0,13,0,13,0,13,0,13,0,13,65,102,0,13,105,119,51,74,109,87,26,45,74,113,0,13,0,13,44,52,32,52,38,45,0,13,0,13,29,44,0,13,10,16,0,13,454,246,0,13,0,13,0,13,0,13,0,13,149,149,0,13,76,92,18,28,0,13,106,129,17,26,0,13,0,13,49,55,0,13,0,13,0,13,0,13,0,13,29,34,10,15,0,13
1500000US010890014043,Block Group 3; Census Tract 14.04; Madison County; Alabama,1354,415,603,202,7,11,3,7,2,7,0,13,25,41,0,13,0,13,0,13,65,77,77,73,17,28,112,107,10,17,64,89,69,67,0,13,77,77,15,18,0,13,24,26,9,14,8,13,19,23,751,266,80,94,2,6,44,75,0,13,0,13,0,13,0,13,0,13,169,138,51,43,95,88,47,69,5,8,100,102,20,34,15,24,9,12,0,13,27,26,57,47,9,15,9,14,12,20
1500000US010890015001,Block Group 1; Census Tract 15; Madison County; Alabama,1769,567,1004,328,0,13,13,22,73,70,35,36,0,13,0,13,0,13,224,252,211,110,85,101,76,88,12,20,37,41,36,36,114,142,0,13,0,13,27,42,15,24,13,21,14,22,19,21,0,13,765,311,46,51,0,13,13,21,0,13,0,13,0,13,20,36,43,52,205,264,27,31,71,49,11,18,49,34,41,41,62,81,28,30,77,71,0,13,29,49,8,13,0,13,14,17,21,23
1500000US010890015002,Block Group 2; Census Tract 15; Madison County; Alabama,1279,515,685,283,0,13,0,13,1,12,0,13,208,158,74,66,71,67,127,106,89,69,0,13,0,13,1,12,0,13,46,38,25,27,0,13,0,13,12,20,0,13,10,17,10,17,11,18,0,13,594,276,30,36,2,27,2,27,0,13,246,172,77,69,61,50,97,69,15,24,0,13,0,13,1,12,1,3,0,13,0,13,0,13,0,13,0,13,8,13,10,17,23,21,0,13,21,23
1500000US010890015003,Block Group 3; Census Tract 15; Madison County; Alabama,2312,646,1223,365,0,13,56,86,0,13,33,53,278,210,169,97,284,255,144,106,12,19,81,93,90,89,0,13,0,13,9,17,37,37,0,13,11,17,19,23,0,13,0,13,0,13,0,13,0,13,1089,364,11,19,40,50,55,65,3,6,385,220,182,112,149,108,95,83,12,21,0,13,109,118,10,18,23,28,0,13,8,14,0,13,7,15,0,13,0,13,0,13,0,13,0,13,0,13
