GEO_ID,NAME,"Less than $10,000","Less than $10,000_MOE","$10,000 to $14,999","$10,000 to $14,999_MOE","$15,000 to $19,999","$15,000 to $19,999_MOE","$20,000 to $24,999","$20,000 to $24,999_MOE","$25,000 to $29,999","$25,000 to $29,999_MOE","$30,000 to $34,999","$30,000 to $34,999_MOE","$35,000 to $39,999","$35,000 to $39,999_MOE","$40,000 to $44,999","$40,000 to $44,999_MOE","$45,000 to $49,999","$45,000 to $49,999_MOE","$50,000 to $59,999","$50,000 to $59,999_MOE","$60,000 to $74,999","$60,000 to $74,999_MOE","$75,000 to $99,999","$75,000 to $99,999_MOE","$100,000 to $124,999","$100,000 to $124,999_MOE","$125,000 to $149,999","$125,000 to $149,999_MOE","$150,000 to $199,999","$150,000 to $199,999_MOE","$200,000 or more","$200,000 or more_MOE"
1500000US010890018012,Block Group 2; Census Tract 18.01; Madison County; Alabama,0,13,0,13,0,13,7,13,0,13,0,13,6,10,0,13,6,9,9,16,41,36,34,26,111,100,15,17,83,54,76,41
1500000US010890018013,Block Group 3; Census Tract 18.01; Madison County; Alabama,0,13,8,12,19,33,37,47,0,13,0,13,0,13,8,13,13,14,11,17,16,21,44,31,60,36,13,15,20,22,186,104
1500000US010890019011,Block Group 1; Census Tract 19.01; Madison County; Alabama,16,24,0,13,0,13,35,55,46,70,31,37,0,13,0,13,0,13,13,20,42,35,52,64,36,37,45,45,81,60,107,86
1500000US010890019012,Block Group 2; Census Tract 19.01; Madison County; Alabama,0,13,9,14,0,13,0,13,0,13,106,157,19,20,0,13,0,13,9,14,13,21,25,30,36,41,17,21,76,50,248,83
1500000US010890019013,Block Group 3; Census Tract 19.01; Madison County; Alabama,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,22,25,90,60,79,48,30,28,106,54,126,53
1500000US010890019021,Block Group 1; Census Tract 19.02; Madison County; Alabama,37,29,32,27,8,13,31,31,19,24,13,20,19,24,59,45,65,40,50,48,118,69,77,38,54,45,74,42,120,56,293,60
1500000US010890019031,Block Group 1; Census Tract 19.03; Madison County; Alabama,44,32,16,17,4,6,0,13,16,25,5,8,4,6,5,9,13,12,53,46,83,37,46,25,77,35,32,29,111,42,361,85
1500000US010890020001,Block Group 1; Census Tract 20; Madison County; Alabama,9,15,2,4,0,13,0,13,5,8,0,13,0,13,11,16,10,15,0,13,22,19,36,32,76,60,13,19,61,38,62,55
1500000US010890020002,Block Group 2; Census Tract 20; Madison County; Alabama,22,23,9,14,13,24,0,13,9,14,9,15,17,21,22,25,46,60,53,42,36,28,60,45,80,56,44,31,85,48,203,146
1500000US010890021001,Block Group 1; Census Tract 21; Madison County; Alabama,96,108,58,74,36,32,25,29,0,13,0,13,0,13,0,13,10,19,0,13,0,13,24,37,0,13,0,13,0,13,0,13
