GEO_ID,NAME,Income (past 12 months) below poverty level,Income (past 12 months) below poverty level_MOE
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,273,141
1500000US010890013021,Block Group 1; Census Tract 13.02; Madison County; Alabama,224,112
1500000US010890014011,Block Group 1; Census Tract 14.01; Madison County; Alabama,122,93
1500000US010890014031,Block Group 1; Census Tract 14.03; Madison County; Alabama,488,210
1500000US010890014032,Block Group 2; Census Tract 14.03; Madison County; Alabama,0,13
1500000US010890014041,Block Group 1; Census Tract 14.04; Madison County; Alabama,119,191
1500000US010890014042,Block Group 2; Census Tract 14.04; Madison County; Alabama,207,133
1500000US010890014043,Block Group 3; Census Tract 14.04; Madison County; Alabama,116,147
1500000US010890015001,Block Group 1; Census Tract 15; Madison County; Alabama,271,236
1500000US010890015002,Block Group 2; Census Tract 15; Madison County; Alabama,69,83
1500000US010890015003,Block Group 3; Census Tract 15; Madison County; Alabama,86,81
1500000US010890015004,Block Group 4; Census Tract 15; Madison County; Alabama,4,6
1500000US010890017001,Block Group 1; Census Tract 17; Madison County; Alabama,6,9
1500000US010890017002,Block Group 2; Census Tract 17; Madison County; Alabama,23,24
1500000US010890018011,Block Group 1; Census Tract 18.01; Madison County; Alabama,48,44
1500000US010890018012,Block Group 2; Census Tract 18.01; Madison County; Alabama,0,13
1500000US010890018013,Block Group 3; Census Tract 18.01; Madison County; Alabama,8,12
1500000US010890019011,Block Group 1; Census Tract 19.01; Madison County; Alabama,66,78
1500000US010890019012,Block Group 2; Census Tract 19.01; Madison County; Alabama,9,14
1500000US010890019013,Block Group 3; Census Tract 19.01; Madison County; Alabama,0,13
1500000US010890019021,Block Group 1; Census Tract 19.02; Madison County; Alabama,125,71
1500000US010890019031,Block Group 1; Census Tract 19.03; Madison County; Alabama,57,39
1500000US010890020001,Block Group 1; Census Tract 20; Madison County; Alabama,11,15
1500000US010890020002,Block Group 2; Census Tract 20; Madison County; Alabama,86,44
1500000US010890021001,Block Group 1; Census Tract 21; Madison County; Alabama,213,129
1500000US010890021002,Block Group 2; Census Tract 21; Madison County; Alabama,148,98
1500000US010890021003,Block Group 3; Census Tract 21; Madison County; Alabama,158,97
1500000US010890022001,Block Group 1; Census Tract 22; Madison County; Alabama,283,145
1500000US010890022002,Block Group 2; Census Tract 22; Madison County; Alabama,94,89
1500000US010890023001,Block Group 1; Census Tract 23; Madison County; Alabama,149,153
1500000US010890023002,Block Group 2; Census Tract 23; Madison County; Alabama,445,193
1500000US010890023003,Block Group 3; Census Tract 23; Madison County; Alabama,213,198
1500000US010890023004,Block Group 4; Census Tract 23; Madison County; Alabama,174,129
1500000US010890024001,Block Group 1; Census Tract 24; Madison County; Alabama,165,188
1500000US010890024002,Block Group 2; Census Tract 24; Madison County; Alabama,143,147
1500000US010890024003,Block Group 3; Census Tract 24; Madison County; Alabama,409,300
1500000US010890024004,Block Group 4; Census Tract 24; Madison County; Alabama,112,115
1500000US010890025011,Block Group 1; Census Tract 25.01; Madison County; Alabama,352,164
1500000US010890025012,Block Group 2; Census Tract 25.01; Madison County; Alabama,117,72
1500000US010890025013,Block Group 3; Census Tract 25.01; Madison County; Alabama,167,139
1500000US010890025021,Block Group 1; Census Tract 25.02; Madison County; Alabama,10,18
1500000US010890025022,Block Group 2; Census Tract 25.02; Madison County; Alabama,134,96
1500000US010890025023,Block Group 3; Census Tract 25.02; Madison County; Alabama,67,55
1500000US010890026001,Block Group 1; Census Tract 26; Madison County; Alabama,180,125
1500000US010890026002,Block Group 2; Census Tract 26; Madison County; Alabama,0,13
1500000US010890026003,Block Group 3; Census Tract 26; Madison County; Alabama,71,75
1500000US010890027011,Block Group 1; Census Tract 27.01; Madison County; Alabama,63,52
1500000US010890027012,Block Group 2; Census Tract 27.01; Madison County; Alabama,144,130
1500000US010890027211,Block Group 1; Census Tract 27.21; Madison County; Alabama,98,84
1500000US010890027212,Block Group 2; Census Tract 27.21; Madison County; Alabama,191,124
1500000US010890027221,Block Group 1; Census Tract 27.22; Madison County; Alabama,17,26
1500000US010890027222,Block Group 2; Census Tract 27.22; Madison County; Alabama,140,96
1500000US010890028011,Block Group 1; Census Tract 28.01; Madison County; Alabama,58,71
1500000US010890028012,Block Group 2; Census Tract 28.01; Madison County; Alabama,124,98
1500000US010890028013,Block Group 3; Census Tract 28.01; Madison County; Alabama,59,50
1500000US010890028031,Block Group 1; Census Tract 28.03; Madison County; Alabama,86,80
1500000US010890028032,Block Group 2; Census Tract 28.03; Madison County; Alabama,130,83
1500000US010890028041,Block Group 1; Census Tract 28.04; Madison County; Alabama,29,35
1500000US010890028042,Block Group 2; Census Tract 28.04; Madison County; Alabama,49,48
1500000US010890029111,Block Group 1; Census Tract 29.11; Madison County; Alabama,107,93
