GEO_ID,NAME,Family,Family_MOE,Family (2-person),Family (2-person)_MOE,Family (3-person),Family (3-person)_MOE,Family (4-person),Family (4-person)_MOE,Family (5-person),Family (5-person)_MOE,Family (6-person),Family (6-person)_MOE,Family (7-person or more),Family (7-person or more)_MOE
1500000US010890030002,Block Group 2; Census Tract 30; Madison County; Alabama,342,137,96,59,102,66,78,73,28,32,0,13,38,67
1500000US010890031001,Block Group 1; Census Tract 31; Madison County; Alabama,248,75,159,56,53,56,5,8,26,23,5,11,0,13
1500000US010890031002,Block Group 2; Census Tract 31; Madison County; Alabama,89,50,54,42,24,26,11,12,0,13,0,13,0,13
1500000US010890031003,Block Group 3; Census Tract 31; Madison County; Alabama,207,68,177,73,18,20,0,13,12,13,0,13,0,13
1500000US010890101011,Block Group 1; Census Tract 101.01; Madison County; Alabama,620,131,351,137,94,60,64,59,26,33,0,13,85,66
1500000US010890101012,Block Group 2; Census Tract 101.01; Madison County; Alabama,353,147,156,103,85,83,112,97,0,13,0,13,0,13
1500000US010890101013,Block Group 3; Census Tract 101.01; Madison County; Alabama,359,137,136,73,51,51,90,73,82,124,0,13,0,13
1500000US010890101021,Block Group 1; Census Tract 101.02; Madison County; Alabama,664,198,242,139,176,141,125,75,121,76,0,13,0,13
1500000US010890101022,Block Group 2; Census Tract 101.02; Madison County; Alabama,1008,252,433,195,129,79,342,213,75,72,11,21,18,32
1500000US010890102001,Block Group 1; Census Tract 102; Madison County; Alabama,828,383,557,376,139,87,88,58,18,29,26,32,0,13
1500000US010890102002,Block Group 2; Census Tract 102; Madison County; Alabama,702,159,355,143,155,88,56,46,129,95,7,12,0,13
1500000US010890102003,Block Group 3; Census Tract 102; Madison County; Alabama,430,130,204,140,74,59,80,57,72,94,0,13,0,13
1500000US010890103021,Block Group 1; Census Tract 103.02; Madison County; Alabama,698,219,367,166,53,38,126,71,26,39,126,157,0,13
1500000US010890103022,Block Group 2; Census Tract 103.02; Madison County; Alabama,675,181,235,93,238,141,108,78,53,46,41,53,0,13
1500000US010890103031,Block Group 1; Census Tract 103.03; Madison County; Alabama,555,177,211,139,135,90,63,73,108,89,38,53,0,13
1500000US010890103032,Block Group 2; Census Tract 103.03; Madison County; Alabama,701,374,420,374,273,102,8,14,0,13,0,13,0,13
1500000US010890103041,Block Group 1; Census Tract 103.04; Madison County; Alabama,261,108,129,68,37,34,95,98,0,13,0,13,0,13
1500000US010890103042,Block Group 2; Census Tract 103.04; Madison County; Alabama,240,92,122,81,57,52,50,57,0,13,0,13,11,21
1500000US010890103043,Block Group 3; Census Tract 103.04; Madison County; Alabama,460,170,158,78,122,80,65,68,115,129,0,13,0,13
1500000US010890103044,Block Group 4; Census Tract 103.04; Madison County; Alabama,443,152,233,120,147,141,51,63,12,22,0,13,0,13
1500000US010890104031,Block Group 1; Census Tract 104.03; Madison County; Alabama,309,135,151,74,79,76,44,56,9,15,26,33,0,13
1500000US010890104032,Block Group 2; Census Tract 104.03; Madison County; Alabama,467,133,206,116,185,95,63,43,13,22,0,13,0,13
1500000US010890104041,Block Group 1; Census Tract 104.04; Madison County; Alabama,488,193,212,117,124,123,122,95,26,44,4,11,0,13
1500000US010890104042,Block Group 2; Census Tract 104.04; Madison County; Alabama,357,135,262,134,20,32,17,25,58,72,0,13,0,13
1500000US010890104051,Block Group 1; Census Tract 104.05; Madison County; Alabama,519,228,308,198,71,87,116,99,9,14,15,30,0,13
1500000US010890104052,Block Group 2; Census Tract 104.05; Madison County; Alabama,497,193,289,156,70,56,94,89,44,50,0,13,0,13
1500000US010890104061,Block Group 1; Census Tract 104.06; Madison County; Alabama,252,76,133,75,103,64,5,13,5,9,0,13,6,16
1500000US010890104062,Block Group 2; Census Tract 104.06; Madison County; Alabama,548,221,173,94,246,183,44,60,85,77,0,13,0,13
1500000US010890105021,Block Group 1; Census Tract 105.02; Madison County; Alabama,791,206,301,152,161,73,162,71,66,46,101,150,0,13
1500000US010890105022,Block Group 2; Census Tract 105.02; Madison County; Alabama,383,94,213,84,94,47,46,49,26,23,4,8,0,13
1500000US010890105031,Block Group 1; Census Tract 105.03; Madison County; Alabama,331,148,69,62,177,123,85,83,0,13,0,13,0,13
1500000US010890105032,Block Group 2; Census Tract 105.03; Madison County; Alabama,498,195,248,160,142,154,71,59,0,13,37,51,0,13
1500000US010890105033,Block Group 3; Census Tract 105.03; Madison County; Alabama,343,172,219,150,26,49,57,68,0,13,20,36,21,35
1500000US010890105034,Block Group 4; Census Tract 105.03; Madison County; Alabama,585,198,219,178,142,146,148,110,76,84,0,13,0,13
1500000US010890105041,Block Group 1; Census Tract 105.04; Madison County; Alabama,1070,219,629,242,65,69,207,104,62,64,107,102,0,13
1500000US010890105042,Block Group 2; Census Tract 105.04; Madison County; Alabama,321,95,118,78,58,70,22,35,98,84,0,13,25,41
1500000US010890105043,Block Group 3; Census Tract 105.04; Madison County; Alabama,290,94,61,70,104,104,96,82,29,42,0,13,0,13
1500000US010890105044,Block Group 4; Census Tract 105.04; Madison County; Alabama,272,118,213,98,38,61,21,30,0,13,0,13,0,13
1500000US010890105045,Block Group 5; Census Tract 105.04; Madison County; Alabama,247,96,184,99,36,45,27,35,0,13,0,13,0,13
1500000US010890106121,Block Group 1; Census Tract 106.12; Madison County; Alabama,305,130,263,126,42,46,0,13,0,13,0,13,0,13
1500000US010890106122,Block Group 2; Census Tract 106.12; Madison County; Alabama,1205,194,589,163,303,141,221,113,64,64,0,13,28,39
1500000US010890106123,Block Group 3; Census Tract 106.12; Madison County; Alabama,607,192,230,128,151,123,104,79,79,65,43,49,0,13
