GEO_ID,NAME,Married,Married_MOE,Married (Children under 18),Married (Children under 18)_MOE,Married (No children under 18),Married (No children under 18)_MOE,Female (No spouse/partner present),Female (No spouse/partner present)_MOE,Female (Living alone),Female (Living alone)_MOE,"Female (No spouse/partner present, children under 18)","Female (No spouse/partner present, children under 18)_MOE",Male (No spouse/partner present),Male (No spouse/partner present)_MOE,Male (Living alone),Male (Living alone)_MOE,"Male (No spouse/partner present, children under 18)","Male (No spouse/partner present, children under 18)_MOE"
1500000US010890024004,Block Group 4; Census Tract 24; Madison County; Alabama,177,169,0,13,177,169,195,103,178,98,0,13,115,105,115,105,0,13
1500000US010890025011,Block Group 1; Census Tract 25.01; Madison County; Alabama,28,31,21,29,7,14,305,130,247,120,21,36,230,143,230,143,0,13
1500000US010890025012,Block Group 2; Census Tract 25.01; Madison County; Alabama,129,94,124,92,5,10,52,68,0,13,35,60,140,87,125,84,0,13
1500000US010890025013,Block Group 3; Census Tract 25.01; Madison County; Alabama,102,109,102,109,0,13,196,147,77,113,63,72,148,114,90,80,0,13
1500000US010890025021,Block Group 1; Census Tract 25.02; Madison County; Alabama,131,74,49,58,82,63,41,31,26,29,0,13,10,23,0,13,0,13
1500000US010890025022,Block Group 2; Census Tract 25.02; Madison County; Alabama,7,13,0,13,7,13,298,166,114,85,89,85,164,93,164,93,0,13
1500000US010890025023,Block Group 3; Census Tract 25.02; Madison County; Alabama,37,48,10,17,27,42,425,158,320,143,93,138,278,116,234,110,16,30
1500000US010890026001,Block Group 1; Census Tract 26; Madison County; Alabama,99,70,0,13,99,70,192,85,120,57,41,64,370,230,288,224,0,13
1500000US010890026002,Block Group 2; Census Tract 26; Madison County; Alabama,252,84,43,35,209,76,61,61,36,33,25,44,79,53,30,35,22,29
1500000US010890026003,Block Group 3; Census Tract 26; Madison County; Alabama,427,128,106,54,321,131,500,293,500,293,0,13,176,111,171,113,0,13
1500000US010890027011,Block Group 1; Census Tract 27.01; Madison County; Alabama,268,91,90,65,178,63,203,71,139,66,7,12,167,70,157,67,0,13
1500000US010890027012,Block Group 2; Census Tract 27.01; Madison County; Alabama,236,75,63,44,173,73,242,140,75,47,12,22,358,338,343,337,0,13
1500000US010890027211,Block Group 1; Census Tract 27.21; Madison County; Alabama,519,104,136,69,383,80,220,75,200,72,0,13,74,61,64,59,10,15
1500000US010890027212,Block Group 2; Census Tract 27.21; Madison County; Alabama,552,122,159,53,393,121,244,108,184,94,0,13,176,89,150,84,0,13
1500000US010890027221,Block Group 1; Census Tract 27.22; Madison County; Alabama,281,65,91,45,190,55,96,56,50,34,0,13,44,30,33,25,0,13
1500000US010890027222,Block Group 2; Census Tract 27.22; Madison County; Alabama,376,74,83,37,293,69,231,71,128,61,34,43,185,175,162,174,8,13
1500000US010890028011,Block Group 1; Census Tract 28.01; Madison County; Alabama,317,141,141,108,176,83,102,75,89,74,0,13,129,73,109,70,0,13
1500000US010890028012,Block Group 2; Census Tract 28.01; Madison County; Alabama,267,132,108,89,159,82,316,164,262,159,19,28,370,183,187,145,92,125
1500000US010890028013,Block Group 3; Census Tract 28.01; Madison County; Alabama,56,58,0,13,56,58,491,185,424,179,8,13,406,322,364,319,0,13
1500000US010890028031,Block Group 1; Census Tract 28.03; Madison County; Alabama,463,151,203,122,260,86,212,130,186,127,26,31,44,38,13,22,11,22
1500000US010890028032,Block Group 2; Census Tract 28.03; Madison County; Alabama,508,146,297,133,211,77,373,139,190,99,49,75,216,103,216,103,0,13
1500000US010890028041,Block Group 1; Census Tract 28.04; Madison County; Alabama,130,61,0,13,130,61,104,68,44,42,0,13,87,58,77,56,0,13
1500000US010890028042,Block Group 2; Census Tract 28.04; Madison County; Alabama,656,166,252,125,404,127,128,70,89,60,0,13,89,66,65,62,0,13
1500000US010890029111,Block Group 1; Census Tract 29.11; Madison County; Alabama,474,90,194,52,280,81,311,130,210,114,0,13,92,50,74,46,0,13
1500000US010890029112,Block Group 2; Census Tract 29.11; Madison County; Alabama,126,48,52,34,74,44,182,64,111,60,5,10,114,143,114,143,0,13
1500000US010890029113,Block Group 3; Census Tract 29.11; Madison County; Alabama,265,94,99,67,166,72,141,81,65,41,9,15,68,44,41,35,6,10
1500000US010890029121,Block Group 1; Census Tract 29.12; Madison County; Alabama,292,57,110,45,182,45,172,67,106,42,0,13,78,40,40,31,31,32
1500000US010890029122,Block Group 2; Census Tract 29.12; Madison County; Alabama,264,76,85,54,179,57,84,38,51,30,0,13,74,33,55,29,0,13
1500000US010890029221,Block Group 1; Census Tract 29.22; Madison County; Alabama,271,93,67,52,204,88,218,72,105,61,54,70,72,61,72,61,0,13
1500000US010890029222,Block Group 2; Census Tract 29.22; Madison County; Alabama,574,115,140,61,434,110,78,44,67,42,11,18,146,79,47,40,34,31
1500000US010890029223,Block Group 3; Census Tract 29.22; Madison County; Alabama,215,54,110,45,105,41,29,28,17,20,12,20,64,38,17,20,0,13
1500000US010890029231,Block Group 1; Census Tract 29.23; Madison County; Alabama,314,148,80,52,234,135,133,75,92,54,41,58,141,139,141,139,0,13
1500000US010890029232,Block Group 2; Census Tract 29.23; Madison County; Alabama,328,147,96,64,232,135,52,56,27,33,25,45,40,36,32,33,0,13
1500000US010890029233,Block Group 3; Census Tract 29.23; Madison County; Alabama,84,52,37,35,47,43,254,137,168,114,43,41,113,92,98,87,0,13
1500000US010890029241,Block Group 1; Census Tract 29.24; Madison County; Alabama,235,103,47,37,188,95,166,84,166,84,0,13,215,142,152,121,16,22
1500000US010890029242,Block Group 2; Census Tract 29.24; Madison County; Alabama,487,235,130,63,357,225,369,182,219,122,16,23,173,93,129,71,0,13
1500000US010890030001,Block Group 1; Census Tract 30; Madison County; Alabama,119,86,33,55,86,56,164,73,33,40,100,54,87,66,80,63,0,13
1500000US010890030002,Block Group 2; Census Tract 30; Madison County; Alabama,157,91,34,40,123,80,275,125,153,102,79,66,158,100,113,80,0,13
1500000US010890031001,Block Group 1; Census Tract 31; Madison County; Alabama,239,74,83,61,156,52,174,81,154,78,0,13,145,63,136,62,9,14
1500000US010890031002,Block Group 2; Census Tract 31; Madison County; Alabama,54,42,11,12,43,41,141,56,117,56,0,13,189,107,173,105,16,24
1500000US010890031003,Block Group 3; Census Tract 31; Madison County; Alabama,196,70,12,13,184,71,180,71,156,73,0,13,148,89,148,89,0,13
1500000US010890101011,Block Group 1; Census Tract 101.01; Madison County; Alabama,418,140,101,67,317,134,245,117,54,50,9,15,74,51,47,45,11,19
1500000US010890101012,Block Group 2; Census Tract 101.01; Madison County; Alabama,259,137,82,83,177,112,151,108,98,90,0,13,221,259,221,259,0,13
1500000US010890101013,Block Group 3; Census Tract 101.01; Madison County; Alabama,276,133,34,35,242,130,161,117,93,99,68,76,250,150,235,148,0,13
1500000US010890101021,Block Group 1; Census Tract 101.02; Madison County; Alabama,664,198,285,139,379,157,102,82,102,82,0,13,76,83,76,83,0,13
1500000US010890101022,Block Group 2; Census Tract 101.02; Madison County; Alabama,697,195,473,184,224,98,473,193,186,109,83,95,78,74,78,74,0,13
1500000US010890102001,Block Group 1; Census Tract 102; Madison County; Alabama,712,381,153,100,559,372,127,68,54,48,22,33,109,74,66,58,19,29
1500000US010890102002,Block Group 2; Census Tract 102; Madison County; Alabama,684,157,211,106,473,154,93,58,75,52,18,27,146,68,146,68,0,13
1500000US010890102003,Block Group 3; Census Tract 102; Madison County; Alabama,290,115,104,95,186,126,212,117,83,89,51,39,23,38,23,38,0,13
