GEO_ID,NAME,Median Age,Median Age_MOE,Median Age (Male),Median Age (Male)_MOE,Median Age (Female),Median Age (Female)_MOE
1500000US010890028012,Block Group 2; Census Tract 28.01; Madison County; Alabama,40.6,14.9,36.5,7.4,57.1,31.2
1500000US010890028013,Block Group 3; Census Tract 28.01; Madison County; Alabama,33.2,18.6,24.9,7.2,59.4,20.2
1500000US010890028031,Block Group 1; Census Tract 28.03; Madison County; Alabama,40.9,4.7,42,10.1,40.7,7.4
1500000US010890028032,Block Group 2; Census Tract 28.03; Madison County; Alabama,36.8,2.4,33,5.9,39,4.7
1500000US010890028041,Block Group 1; Census Tract 28.04; Madison County; Alabama,55.1,5.1,61.9,4.4,53.3,4.2
1500000US010890028042,Block Group 2; Census Tract 28.04; Madison County; Alabama,46.2,2.2,48.1,3,45.2,5.2
1500000US010890029111,Block Group 1; Census Tract 29.11; Madison County; Alabama,42.5,6.8,41.6,4.7,45.5,9.2
1500000US010890029112,Block Group 2; Census Tract 29.11; Madison County; Alabama,35.2,4.2,33.6,7,38.8,16
1500000US010890029113,Block Group 3; Census Tract 29.11; Madison County; Alabama,47.1,19.2,45.2,23.3,48.5,18.6
1500000US010890029121,Block Group 1; Census Tract 29.12; Madison County; Alabama,44.8,13.1,40.9,10.6,52.5,8.9
1500000US010890029122,Block Group 2; Census Tract 29.12; Madison County; Alabama,55.5,7.5,48,22.3,59.4,4.6
1500000US010890029221,Block Group 1; Census Tract 29.22; Madison County; Alabama,47.6,7.5,45.1,15.6,48.3,6
1500000US010890029222,Block Group 2; Census Tract 29.22; Madison County; Alabama,45.9,5.3,45.8,7.1,46,12.6
1500000US010890029223,Block Group 3; Census Tract 29.22; Madison County; Alabama,41.2,4.9,38.9,5.7,43.3,6.2
1500000US010890029231,Block Group 1; Census Tract 29.23; Madison County; Alabama,56.3,13.7,58.5,15,45,26.1
1500000US010890029232,Block Group 2; Census Tract 29.23; Madison County; Alabama,51.2,19,43.3,30.2,51.7,19.4
1500000US010890029233,Block Group 3; Census Tract 29.23; Madison County; Alabama,31.9,11.3,30,8.2,38.4,14.8
1500000US010890029241,Block Group 1; Census Tract 29.24; Madison County; Alabama,63.8,8.7,65,6.9,62.8,23.4
1500000US010890029242,Block Group 2; Census Tract 29.24; Madison County; Alabama,43.7,11.9,41.8,12.7,45.2,12.3
1500000US010890030001,Block Group 1; Census Tract 30; Madison County; Alabama,26.7,11.7,31.6,35.5,25.8,4.8
1500000US010890030002,Block Group 2; Census Tract 30; Madison County; Alabama,35.8,13.3,40.3,15.9,35,17.4
1500000US010890031001,Block Group 1; Census Tract 31; Madison County; Alabama,37.3,2,35.2,2.1,44.5,6.6
1500000US010890031002,Block Group 2; Census Tract 31; Madison County; Alabama,56.8,9,63.4,10.6,37.9,26.4
1500000US010890031003,Block Group 3; Census Tract 31; Madison County; Alabama,55.4,13.2,36.5,10.5,67.1,9.8
1500000US010890101011,Block Group 1; Census Tract 101.01; Madison County; Alabama,39.6,4.5,37.1,6.4,46.3,8
1500000US010890101012,Block Group 2; Census Tract 101.01; Madison County; Alabama,47.8,17.1,55,30.9,47.6,9.6
1500000US010890101013,Block Group 3; Census Tract 101.01; Madison County; Alabama,47.3,17.9,60.6,10.7,38.2,11.5
1500000US010890101021,Block Group 1; Census Tract 101.02; Madison County; Alabama,42.4,7.9,39.5,19.6,42.7,4.9
1500000US010890101022,Block Group 2; Census Tract 101.02; Madison County; Alabama,33.1,3.6,33.2,3.9,32.9,6.4
1500000US010890102001,Block Group 1; Census Tract 102; Madison County; Alabama,57.5,14.1,57.4,17.2,57.5,13.2
1500000US010890102002,Block Group 2; Census Tract 102; Madison County; Alabama,34.7,9,36.4,7.9,33.6,12.2
1500000US010890102003,Block Group 3; Census Tract 102; Madison County; Alabama,37.1,12.7,34.9,14.6,41.4,15.2
1500000US010890103021,Block Group 1; Census Tract 103.02; Madison County; Alabama,42.3,8.7,35.4,15.4,46.1,5.9
1500000US010890103022,Block Group 2; Census Tract 103.02; Madison County; Alabama,34,9.9,38.8,13.3,33.4,6
1500000US010890103031,Block Group 1; Census Tract 103.03; Madison County; Alabama,30.8,13.6,32.9,13.6,20.9,18.3
1500000US010890103032,Block Group 2; Census Tract 103.03; Madison County; Alabama,52.1,15.1,50.9,14.7,52.3,20.2
1500000US010890103041,Block Group 1; Census Tract 103.04; Madison County; Alabama,33.7,29.8,31.8,34.5,40.3,26.1
1500000US010890103042,Block Group 2; Census Tract 103.04; Madison County; Alabama,49.6,5.7,46.4,9.2,50.9,5.3
1500000US010890103043,Block Group 3; Census Tract 103.04; Madison County; Alabama,28.7,16.6,31,12,28.7,18.7
1500000US010890103044,Block Group 4; Census Tract 103.04; Madison County; Alabama,37.3,5.7,31.5,19.2,37.6,3.3
1500000US010890104031,Block Group 1; Census Tract 104.03; Madison County; Alabama,51.8,7.2,47.2,17.3,54,13.5
1500000US010890104032,Block Group 2; Census Tract 104.03; Madison County; Alabama,45,5.3,47.1,5.9,42.6,4.1
1500000US010890104041,Block Group 1; Census Tract 104.04; Madison County; Alabama,40.4,17.3,34.4,17.4,48.4,16.4
1500000US010890104042,Block Group 2; Census Tract 104.04; Madison County; Alabama,55.2,8.9,55.4,6.3,52.7,11.5
1500000US010890104051,Block Group 1; Census Tract 104.05; Madison County; Alabama,52,9.8,55.8,17.5,50.7,11.3
1500000US010890104052,Block Group 2; Census Tract 104.05; Madison County; Alabama,45.9,12,39.3,12.4,46.5,4.1
1500000US010890104061,Block Group 1; Census Tract 104.06; Madison County; Alabama,50.2,5,51.8,4.3,43.5,6.8
1500000US010890104062,Block Group 2; Census Tract 104.06; Madison County; Alabama,30.5,7.2,29.4,7.5,32.2,8.1
1500000US010890105021,Block Group 1; Census Tract 105.02; Madison County; Alabama,33.7,7,33.4,6.4,35.3,10.3
