GEO_ID,NAME,Total Buildings,Total Buildings_MOE,Built 2020 or later,Built 2020 or later_MOE,Built 2010 to 2019,Built 2010 to 2019_MOE,Built 2000 to 2009,Built 2000 to 2009_MOE,Built 1990 to 1999,Built 1990 to 1999_MOE,Built 1980 to 1989,Built 1980 to 1989_MOE,Built 1970 to 1979,Built 1970 to 1979_MOE,Built 1960 to 1969,Built 1960 to 1969_MOE,Built 1950 to 1959,Built 1950 to 1959_MOE,Built 1940 to 1949,Built 1940 to 1949_MOE,Built 1939 or earlier,Built 1939 or earlier_MOE
1500000US010890107052,Block Group 2; Census Tract 107.05; Madison County; Alabama,1281,334,125,100,156,103,426,190,161,78,195,140,7,12,62,79,149,205,0,13,0,13
1500000US010890107061,Block Group 1; Census Tract 107.06; Madison County; Alabama,327,85,19,29,0,13,22,23,126,64,16,23,57,65,87,73,0,13,0,13,0,13
1500000US010890107062,Block Group 2; Census Tract 107.06; Madison County; Alabama,614,152,0,13,71,88,142,116,122,87,171,90,12,19,39,40,57,55,0,13,0,13
1500000US010890107063,Block Group 3; Census Tract 107.06; Madison County; Alabama,844,142,18,31,19,29,219,91,317,125,82,55,137,89,41,33,11,19,0,13,0,13
1500000US010890108011,Block Group 1; Census Tract 108.01; Madison County; Alabama,895,205,152,108,186,125,160,135,285,105,62,54,50,57,0,13,0,13,0,13,0,13
1500000US010890108012,Block Group 2; Census Tract 108.01; Madison County; Alabama,1149,459,0,13,143,77,237,86,394,339,177,98,0,13,0,13,0,13,198,314,0,13
1500000US010890108013,Block Group 3; Census Tract 108.01; Madison County; Alabama,420,146,14,25,17,27,227,97,34,53,104,134,0,13,0,13,0,13,0,13,24,37
1500000US010890108021,Block Group 1; Census Tract 108.02; Madison County; Alabama,508,220,46,75,53,60,199,158,19,32,17,30,109,101,65,95,0,13,0,13,0,13
1500000US010890108022,Block Group 2; Census Tract 108.02; Madison County; Alabama,1140,274,0,13,23,34,543,285,194,104,271,175,0,13,76,74,0,13,0,13,33,53
1500000US010890108023,Block Group 3; Census Tract 108.02; Madison County; Alabama,788,282,0,13,142,174,173,101,259,189,84,75,24,38,106,163,0,13,0,13,0,13
1500000US010890109021,Block Group 1; Census Tract 109.02; Madison County; Alabama,466,88,15,23,21,20,44,33,64,33,21,14,107,53,90,42,16,14,11,11,77,51
1500000US010890109022,Block Group 2; Census Tract 109.02; Madison County; Alabama,262,67,19,20,47,50,78,56,58,34,43,29,0,13,0,13,6,10,11,16,0,13
1500000US010890109023,Block Group 3; Census Tract 109.02; Madison County; Alabama,569,157,11,16,25,25,121,72,199,139,102,56,8,12,8,13,22,24,11,18,62,56
1500000US010890109031,Block Group 1; Census Tract 109.03; Madison County; Alabama,770,195,58,58,255,185,149,120,90,84,101,78,74,78,43,52,0,13,0,13,0,13
1500000US010890109032,Block Group 2; Census Tract 109.03; Madison County; Alabama,564,179,83,116,155,112,208,130,50,78,7,18,28,43,0,13,0,13,0,13,33,51
1500000US010890109033,Block Group 3; Census Tract 109.03; Madison County; Alabama,1111,317,12,22,405,299,630,180,20,35,0,13,0,13,44,73,0,13,0,13,0,13
1500000US010890109041,Block Group 1; Census Tract 109.04; Madison County; Alabama,998,146,0,13,456,184,464,151,6,11,13,21,0,13,59,91,0,13,0,13,0,13
1500000US010890109042,Block Group 2; Census Tract 109.04; Madison County; Alabama,424,158,0,13,184,125,195,108,0,13,22,27,9,15,0,13,0,13,0,13,14,24
1500000US010890109051,Block Group 1; Census Tract 109.05; Madison County; Alabama,1026,394,0,13,287,110,216,131,82,93,79,108,31,50,331,372,0,13,0,13,0,13
1500000US010890109052,Block Group 2; Census Tract 109.05; Madison County; Alabama,813,198,0,13,39,52,362,150,380,172,11,19,0,13,21,37,0,13,0,13,0,13
1500000US010890109053,Block Group 3; Census Tract 109.05; Madison County; Alabama,1271,228,48,45,233,90,239,128,597,194,71,89,60,83,23,37,0,13,0,13,0,13
1500000US010890110121,Block Group 1; Census Tract 110.12; Madison County; Alabama,912,143,0,13,182,120,350,120,111,61,207,84,48,48,14,22,0,13,0,13,0,13
1500000US010890110122,Block Group 2; Census Tract 110.12; Madison County; Alabama,693,158,0,13,73,89,149,84,72,59,226,114,131,100,27,33,15,24,0,13,0,13
1500000US010890110123,Block Group 3; Census Tract 110.12; Madison County; Alabama,579,134,0,13,103,71,124,77,112,65,26,30,94,55,48,47,72,92,0,13,0,13
1500000US010890110131,Block Group 1; Census Tract 110.13; Madison County; Alabama,601,157,0,13,0,13,68,55,172,71,351,131,10,18,0,13,0,13,0,13,0,13
1500000US010890110132,Block Group 2; Census Tract 110.13; Madison County; Alabama,888,202,0,13,7,11,67,56,344,122,280,126,73,40,106,93,11,18,0,13,0,13
1500000US010890110133,Block Group 3; Census Tract 110.13; Madison County; Alabama,545,114,0,13,13,20,63,72,154,102,135,74,74,43,95,62,11,17,0,13,0,13
1500000US010890110211,Block Group 1; Census Tract 110.21; Madison County; Alabama,583,173,0,13,46,71,214,128,145,90,151,94,0,13,27,32,0,13,0,13,0,13
1500000US010890110212,Block Group 2; Census Tract 110.21; Madison County; Alabama,929,227,52,56,362,147,180,140,63,87,81,109,14,24,88,100,9,15,20,31,60,75
1500000US010890110213,Block Group 3; Census Tract 110.21; Madison County; Alabama,999,338,0,13,179,149,191,138,257,171,349,265,23,36,0,13,0,13,0,13,0,13
1500000US010890110231,Block Group 1; Census Tract 110.23; Madison County; Alabama,429,114,0,13,26,30,60,40,293,111,0,13,50,68,0,13,0,13,0,13,0,13
1500000US010890110232,Block Group 2; Census Tract 110.23; Madison County; Alabama,638,115,17,27,24,39,91,62,305,102,161,79,40,45,0,13,0,13,0,13,0,13
1500000US010890110233,Block Group 3; Census Tract 110.23; Madison County; Alabama,1254,232,0,13,349,192,434,162,346,122,116,69,0,13,0,13,9,17,0,13,0,13
1500000US010890110241,Block Group 1; Census Tract 110.24; Madison County; Alabama,828,114,67,79,57,37,441,127,230,70,20,24,0,13,0,13,0,13,0,13,13,25
1500000US010890110242,Block Group 2; Census Tract 110.24; Madison County; Alabama,1129,268,27,41,126,85,900,270,40,35,23,33,13,21,0,13,0,13,0,13,0,13
1500000US010890110251,Block Group 1; Census Tract 110.25; Madison County; Alabama,335,115,1,3,17,27,159,86,158,97,0,13,0,13,0,13,0,13,0,13,0,13
1500000US010890110252,Block Group 2; Census Tract 110.25; Madison County; Alabama,658,165,0,13,80,118,84,129,237,175,125,84,114,142,18,34,0,13,0,13,0,13
1500000US010890110253,Block Group 3; Census Tract 110.25; Madison County; Alabama,559,209,0,13,15,24,273,144,247,160,10,16,0,13,0,13,0,13,0,13,14,23
1500000US010890110254,Block Group 4; Census Tract 110.25; Madison County; Alabama,924,205,23,37,147,58,403,150,278,103,61,45,0,13,0,13,0,13,0,13,12,22
1500000US010890110261,Block Group 1; Census Tract 110.26; Madison County; Alabama,613,168,8,15,366,149,24,26,98,91,101,67,8,15,8,14,0,13,0,13,0,13
1500000US010890110262,Block Group 2; Census Tract 110.26; Madison County; Alabama,720,173,34,49,80,61,346,154,210,72,0,13,50,49,0,13,0,13,0,13,0,13
1500000US010890110271,Block Group 1; Census Tract 110.27; Madison County; Alabama,763,159,27,38,212,101,427,145,65,57,6,10,0,13,12,20,0,13,0,13,14,23
1500000US010890110272,Block Group 2; Census Tract 110.27; Madison County; Alabama,848,227,0,13,11,19,58,86,163,108,263,93,83,92,169,88,99,137,0,13,2,8
1500000US010890110281,Block Group 1; Census Tract 110.28; Madison County; Alabama,826,424,0,13,56,41,0,13,56,30,247,122,439,396,28,32,0,13,0,13,0,13
1500000US010890110282,Block Group 2; Census Tract 110.28; Madison County; Alabama,575,217,0,13,0,13,67,63,207,153,190,132,88,138,0,13,0,13,0,13,23,37
1500000US010890110283,Block Group 3; Census Tract 110.28; Madison County; Alabama,944,233,64,63,193,163,147,197,340,171,123,73,0,13,20,30,12,20,0,13,45,67
1500000US010890111001,Block Group 1; Census Tract 111; Madison County; Alabama,74,30,0,13,13,14,33,21,6,10,17,18,0,13,5,8,0,13,0,13,0,13
1500000US010890111002,Block Group 2; Census Tract 111; Madison County; Alabama,309,49,0,13,33,23,37,20,67,34,45,26,66,34,11,13,25,20,25,24,0,13
1500000US010890112011,Block Group 1; Census Tract 112.01; Madison County; Alabama,800,149,51,59,345,155,54,54,285,139,39,64,26,42,0,13,0,13,0,13,0,13
